date,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
2020-03-25,46,251,1080,1342,1547,2043,1278,1001,858
2020-03-26,48,273,1181,1450,1688,2238,1392,1068,923
2020-03-27,51,304,1335,1650,1893,2531,1598,1213,1127
2020-03-28,52,326,1451,1775,2061,2730,1750,1322,1262
2020-03-29,54,351,1562,1907,2239,3000,1898,1452,1396
2020-03-30,58,376,1667,2042,2397,3244,2060,1586,1562
2020-03-31,60,393,1740,2120,2505,3367,2151,1667,1692
2020-04-01,62,418,1847,2235,2644,3553,2265,1778,1852
2020-04-02,63,447,1978,2373,2825,3812,2424,1899,2004
2020-04-03,66,475,2090,2475,2995,4022,2543,1988,2172
2020-04-04,68,505,2225,2607,3144,4246,2655,2059,2291
2020-04-05,73,526,2330,2710,3285,4427,2725,2118,2429
2020-04-06,78,532,2403,2787,3388,4531,2782,2172,2501
2020-04-07,84,558,2497,2879,3488,4652,2856,2238,2626
2020-04-08,86,565,2583,2932,3565,4765,2901,2286,2692
2020-04-09,88,599,2739,3108,3755,4972,3023,2383,2820
2020-04-10,91,623,2847,3206,3865,5111,3097,2443,2937
2020-04-11,92,645,2935,3274,3946,5222,3159,2501,3038
2020-04-12,96,653,2985,3323,4027,5276,3194,2537,3120
2020-04-13,98,660,3023,3349,4056,5321,3217,2561,3205
2020-04-14,98,666,3048,3376,4093,5377,3244,2581,3263
2020-04-15,99,679,3141,3478,4180,5485,3304,2622,3339
2020-04-16,100,690,3178,3525,4230,5539,3336,2648,3396
2020-04-17,104,701,3234,3564,4283,5606,3363,2671,3465
2020-04-18,105,720,3294,3627,4316,5652,3389,2692,3523
2020-04-19,106,734,3338,3681,4371,5694,3409,2709,3609
2020-04-20,106,740,3370,3714,4403,5731,3415,2723,3653
2020-04-21,108,745,3385,3733,4412,5752,3431,2735,3676
2020-04-22,110,752,3418,3760,4443,5794,3445,2748,3712
2020-04-23,110,759,3462,3789,4479,5835,3459,2759,3758
2020-04-24,112,767,3494,3814,4502,5861,3479,2774,3788
2020-04-25,113,777,3526,3844,4528,5905,3502,2785,3824
2020-04-26,113,786,3561,3876,4547,5931,3514,2796,3845
2020-04-27,115,790,3576,3891,4558,5954,3521,2806,3861
2020-04-28,115,798,3598,3908,4576,5968,3529,2817,3873
2020-04-29,120,802,3612,3933,4599,5995,3544,2822,3900
2020-04-30,127,806,3636,3964,4630,6036,3554,2826,3929
2020-05-01,131,807,3659,3983,4648,6051,3569,2835,3943
2020-05-02,131,812,3679,3995,4656,6074,3576,2842,3971
2020-05-03,132,817,3695,4006,4672,6088,3586,2845,3984
2020-05-04,134,821,3717,4015,4686,6099,3592,2847,3990
2020-05-05,135,823,3721,4020,4689,6105,3597,2847,3992
2020-05-06,137,822,3733,4033,4705,6110,3599,2849,3992
2020-05-07,139,826,3749,4044,4709,6119,3605,2859,3996
2020-05-08,143,829,3762,4058,4723,6133,3608,2862,4009
2020-05-09,146,832,3771,4067,4731,6142,3608,2863,4011
2020-05-10,147,836,3779,4071,4737,6149,3620,2867,4018
2020-05-11,149,839,3783,4075,4745,6154,3621,2866,4031
2020-05-12,149,845,3786,4082,4750,6158,3626,2866,4037
2020-05-13,150,849,3793,4086,4756,6164,3631,2868,4042
2020-05-14,149,853,3797,4095,4759,6175,3638,2872,4048
2020-05-15,151,862,3799,4100,4763,6184,3642,2877,4059
2020-05-16,155,865,3804,4112,4770,6197,3647,2881,4065
2020-05-17,155,866,3805,4114,4773,6200,3649,2884,4065
2020-05-18,155,868,3810,4113,4776,6199,3651,2884,4065
2020-05-19,156,869,3813,4115,4781,6205,3654,2884,4064
2020-05-20,157,872,3826,4116,4785,6210,3657,2887,4070
2020-05-21,157,875,3830,4117,4794,6218,3660,2890,4075
2020-05-22,157,876,3833,4117,4800,6222,3660,2889,4075
2020-05-23,159,876,3834,4121,4801,6226,3663,2892,4075
2020-05-24,159,877,3835,4124,4802,6227,3664,2894,4076
2020-05-25,160,877,3840,4127,4802,6226,3666,2894,4076
2020-05-26,160,877,3841,4130,4804,6229,3668,2895,4080
2020-05-27,161,880,3845,4130,4803,6234,3668,2897,4081
2020-05-28,164,881,3851,4132,4807,6237,3669,2897,4081
2020-05-29,167,887,3859,4136,4813,6239,3669,2898,4083
2020-05-30,168,891,3864,4142,4815,6242,3670,2898,4082
2020-05-31,168,892,3866,4144,4818,6246,3671,2900,4083
2020-06-01,168,893,3866,4146,4821,6249,3671,2900,4083
2020-06-02,168,893,3867,4146,4822,6250,3671,2900,4084
2020-06-03,168,894,3869,4147,4825,6252,3673,2903,4086
2020-06-04,169,901,3872,4147,4825,6255,3674,2905,4089
2020-06-05,169,904,3881,4153,4827,6256,3675,2907,4091
2020-06-06,170,907,3884,4157,4828,6260,3677,2909,4091
2020-06-07,171,908,3886,4159,4828,6260,3679,2910,4091
2020-06-08,172,909,3888,4160,4829,6260,3679,2911,4091
2020-06-09,174,911,3890,4161,4829,6264,3683,2911,4092
2020-06-10,175,911,3893,4164,4834,6268,3688,2913,4092
2020-06-11,176,911,3895,4171,4837,6274,3695,2917,4095
2020-06-12,180,915,3901,4173,4840,6276,3696,2914,4094
2020-06-13,184,918,3903,4179,4845,6283,3700,2914,4094
2020-06-14,185,918,3908,4184,4850,6288,3701,2914,4095
2020-06-15,187,920,3910,4186,4852,6290,3702,2914,4096
2020-06-16,190,920,3915,4188,4852,6294,3703,2914,4096
2020-06-17,191,922,3923,4192,4858,6300,3708,2917,4098
2020-06-18,191,922,3929,4198,4859,6302,3711,2915,4099
2020-06-19,193,923,3933,4204,4861,6302,3710,2918,4099
2020-06-20,194,924,3941,4209,4865,6304,3713,2920,4099
2020-06-21,196,929,3954,4217,4869,6314,3718,2921,4100
2020-06-22,196,932,3958,4220,4871,6316,3720,2922,4101
2020-06-23,198,932,3962,4227,4874,6321,3720,2922,4102
2020-06-24,200,937,3975,4234,4882,6327,3721,2924,4102
2020-06-25,203,942,3990,4243,4888,6336,3725,2925,4102
2020-06-26,204,944,4006,4255,4905,6342,3726,2928,4103
2020-06-27,205,947,4028,4264,4922,6353,3731,2929,4103
2020-06-28,205,955,4044,4280,4932,6358,3736,2929,4105
2020-06-29,205,956,4059,4286,4935,6363,3739,2931,4106
2020-06-30,205,960,4076,4297,4942,6374,3748,2933,4107
2020-07-01,207,969,4111,4331,4960,6398,3760,2935,4108
2020-07-02,209,984,4151,4350,4976,6409,3770,2936,4110
2020-07-03,212,997,4204,4377,4992,6422,3777,2938,4110
2020-07-04,213,1007,4238,4395,5005,6435,3784,2938,4111
2020-07-05,213,1012,4253,4410,5014,6446,3794,2940,4114
2020-07-06,213,1015,4263,4422,5024,6450,3797,2942,4117
2020-07-07,213,1017,4277,4433,5033,6460,3803,2943,4118
2020-07-08,216,1026,4306,4457,5049,6481,3825,2947,4119
2020-07-09,217,1027,4332,4476,5064,6494,3831,2953,4119
2020-07-10,218,1034,4353,4498,5084,6510,3842,2956,4122
2020-07-11,223,1043,4379,4519,5099,6526,3853,2960,4123
2020-07-12,227,1050,4397,4540,5113,6533,3864,2961,4125
2020-07-13,228,1057,4407,4552,5122,6545,3873,2963,4126
2020-07-14,229,1062,4421,4562,5134,6557,3886,2965,4127
2020-07-15,229,1071,4446,4601,5155,6578,3901,2966,4128
2020-07-16,231,1077,4483,4630,5182,6598,3915,2969,4132
2020-07-17,235,1082,4506,4650,5197,6607,3925,2973,4134
2020-07-18,239,1096,4531,4674,5213,6621,3931,2977,4137
2020-07-19,243,1104,4552,4685,5228,6639,3939,2986,4142
2020-07-20,243,1107,4562,4697,5233,6646,3941,2988,4144
2020-07-21,246,1110,4589,4722,5252,6657,3955,2992,4146
2020-07-22,248,1113,4625,4752,5277,6678,3970,2998,4149
2020-07-23,251,1128,4650,4776,5291,6693,3985,3002,4151
2020-07-24,254,1145,4686,4813,5316,6711,3999,3002,4155
2020-07-25,255,1156,4734,4844,5332,6726,4010,3014,4158
2020-07-26,260,1169,4766,4857,5348,6740,4019,3021,4159
2020-07-27,261,1174,4790,4867,5355,6751,4022,3023,4161
2020-07-28,261,1185,4833,4893,5374,6764,4035,3026,4165
2020-07-29,263,1196,4893,4930,5399,6793,4058,3030,4167
2020-07-30,265,1214,4968,4969,5434,6811,4076,3035,4177
2020-07-31,272,1234,5033,5004,5461,6843,4091,3043,4178
2020-08-01,277,1247,5086,5038,5477,6874,4113,3048,4179
2020-08-02,278,1264,5122,5060,5498,6902,4119,3052,4182
2020-08-03,279,1270,5134,5072,5512,6914,4126,3053,4183
2020-08-04,279,1281,5164,5095,5530,6941,4139,3059,4185
2020-08-05,281,1307,5204,5136,5551,6968,4151,3066,4190
2020-08-06,285,1335,5250,5168,5577,6998,4165,3067,4190
2020-08-07,292,1352,5286,5210,5596,7021,4178,3070,4191
2020-08-08,293,1373,5341,5242,5619,7054,4190,3074,4193
2020-08-09,296,1392,5390,5271,5646,7066,4198,3077,4195
2020-08-10,297,1407,5429,5294,5656,7075,4202,3081,4195
2020-08-11,298,1436,5491,5330,5677,7093,4215,3087,4196
2020-08-12,301,1470,5586,5378,5705,7132,4237,3091,4197
2020-08-13,308,1494,5678,5422,5731,7155,4248,3095,4200
2020-08-14,315,1521,5768,5485,5764,7182,4265,3096,4203
2020-08-15,323,1546,5873,5530,5791,7206,4273,3105,4204
2020-08-16,324,1567,5951,5561,5822,7227,4281,3110,4208
2020-08-17,324,1579,5980,5600,5840,7244,4290,3114,4208
2020-08-18,328,1611,6048,5636,5869,7262,4297,3116,4209
2020-08-19,337,1652,6162,5693,5900,7301,4309,3120,4213
2020-08-20,341,1681,6265,5752,5932,7318,4325,3123,4216
2020-08-21,344,1721,6385,5808,5970,7339,4339,3130,4223
2020-08-22,348,1755,6497,5865,6009,7358,4363,3132,4227
2020-08-23,351,1785,6588,5933,6042,7380,4379,3137,4235
2020-08-24,354,1805,6641,5964,6064,7395,4390,3140,4234
2020-08-25,356,1826,6710,6006,6090,7424,4398,3142,4236
2020-08-26,363,1875,6836,6075,6149,7460,4418,3150,4243
2020-08-27,368,1919,6951,6138,6213,7499,4436,3157,4249
2020-08-28,374,1969,7052,6216,6257,7535,4452,3161,4254
2020-08-29,384,2013,7174,6290,6304,7579,4473,3169,4260
2020-08-30,388,2051,7272,6346,6343,7608,4485,3177,4267
2020-08-31,395,2063,7316,6387,6362,7632,4489,3183,4273
2020-09-01,401,2092,7385,6441,6391,7651,4496,3184,4275
2020-09-02,412,2116,7504,6527,6442,7694,4516,3189,4286
2020-09-03,415,2145,7602,6608,6496,7738,4535,3201,4309
2020-09-04,427,2183,7733,6680,6556,7795,4555,3206,4320
2020-09-05,433,2226,7873,6773,6617,7846,4575,3214,4323
2020-09-06,434,2265,8001,6853,6679,7903,4611,3231,4345
2020-09-07,437,2288,8052,6887,6709,7937,4619,3237,4347
2020-09-08,440,2307,8110,6937,6745,7978,4640,3242,4359
2020-09-09,444,2364,8239,7004,6820,8038,4676,3260,4380
2020-09-10,447,2397,8362,7080,6881,8093,4698,3273,4397
2020-09-11,451,2469,8524,7174,6956,8148,4730,3295,4410
2020-09-12,457,2522,8643,7269,7037,8214,4758,3305,4421
2020-09-13,457,2569,8754,7356,7115,8282,4801,3330,4437
2020-09-14,457,2598,8806,7406,7171,8313,4818,3338,4451
2020-09-15,457,2632,8871,7486,7225,8356,4841,3349,4457
2020-09-16,459,2685,8993,7584,7314,8432,4885,3360,4475
2020-09-17,463,2750,9116,7684,7399,8510,4922,3389,4483
2020-09-18,463,2822,9229,7776,7484,8569,4957,3412,4493
2020-09-21,470,2942,9512,7988,7666,8722,5047,3445,4508
2020-09-22,474,2972,9587,8042,7719,8767,5063,3451,4511
2020-09-23,476,3010,9676,8130,7796,8844,5099,3470,4521
2020-09-24,480,3047,9764,8202,7851,8907,5142,3487,4533
2020-09-25,480,3079,9848,8294,7900,8977,5163,3502,4542
2020-09-28,486,3139,10007,8442,8033,9119,5215,3543,4584
2020-09-29,487,3152,10058,8477,8079,9159,5234,3553,4594
2020-09-30,489,3175,10147,8556,8143,9231,5275,3572,4615
2020-10-01,491,3221,10258,8695,8219,9313,5325,3595,4636
2020-10-02,494,3255,10392,8809,8308,9391,5365,3626,4664
2020-10-05,509,3372,10761,9136,8539,9615,5504,3701,4715
2020-10-06,517,3427,10910,9273,8657,9726,5574,3728,4739
