,"('Czechia', '0-9')","('Czechia', '10-19')","('Czechia', '20-29')","('Czechia', '30-39')","('Czechia', '40-49')","('Czechia', '50-59')","('Czechia', '60-69')","('Czechia', '70-79')","('Czechia', '80-89')","('Czechia', '90-120')"
22-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24-03-2020,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
25-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0
27-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
28-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0
29-03-2020,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0
30-03-2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0
31-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0
01-04-2020,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0
02-04-2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0
03-04-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0
04-04-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0
05-04-2020,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0
06-04-2020,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0
07-04-2020,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0
08-04-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,4.0
09-04-2020,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,1.0
10-04-2020,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,3.0,1.0
11-04-2020,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0
12-04-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0
13-04-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,3.0
14-04-2020,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,0.0
16-04-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
17-04-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0
18-04-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
19-04-2020,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0
20-04-2020,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0
21-04-2020,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0
22-04-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
23-04-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0
24-04-2020,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0
25-04-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
26-04-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
27-04-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
28-04-2020,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
29-04-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0
30-04-2020,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0
01-05-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0
02-05-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
03-05-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
04-05-2020,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0
05-05-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
06-05-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
07-05-2020,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0
08-05-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0
09-05-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
10-05-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
