,deaths 0-9,deaths 10-19,deaths 20-29,deaths 30-39,deaths 40-49,deaths 50-59,deaths 60-69,deaths 70-79,deaths 80-89,deaths 90+,deaths <50,deaths Unknown
31-01-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
13-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
21-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
24-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
25-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0
26-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0
27-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0
28-02-2020,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0
29-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0
01-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0
02-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,7.0,1.0,0.0,0.0
03-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0
04-03-2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0
05-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,10.0,1.0,0.0,0.0
06-03-2020,0.0,0.0,0.0,0.0,0.0,3.0,9.0,6.0,9.0,1.0,0.0,0.0
07-03-2020,0.0,0.0,0.0,0.0,0.0,2.0,4.0,12.0,13.0,3.0,1.0,0.0
08-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,13.0,1.0,1.0,0.0
09-03-2020,0.0,0.0,0.0,0.0,0.0,1.0,5.0,17.0,26.0,4.0,0.0,0.0
10-03-2020,0.0,0.0,0.0,0.0,0.0,1.0,10.0,17.0,19.0,2.0,0.0,0.0
11-03-2020,0.0,0.0,0.0,0.0,0.0,1.0,11.0,32.0,27.0,6.0,0.0,0.0
12-03-2020,0.0,0.0,0.0,0.0,0.0,3.0,6.0,37.0,32.0,2.0,0.0,0.0
13-03-2020,0.0,0.0,0.0,0.0,0.0,3.0,15.0,28.0,34.0,7.0,0.0,0.0
14-03-2020,0.0,0.0,0.0,0.0,0.0,6.0,6.0,28.0,39.0,8.0,1.0,0.0
15-03-2020,0.0,0.0,0.0,0.0,0.0,6.0,15.0,30.0,53.0,9.0,1.0,0.0
