date,"('Portugal', '0-9')","('Portugal', '10-19')","('Portugal', '20-29')","('Portugal', '30-39')","('Portugal', '40-49')","('Portugal', '50-59')","('Portugal', '60-69')","('Portugal', '70-79')","('Portugal', '80-')"
27-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03-03-2020,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0
04-03-2020,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
05-03-2020,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
06-03-2020,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
07-03-2020,0.0,3.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
08-03-2020,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0
09-03-2020,0.0,1.0,0.0,2.0,4.0,1.0,0.0,1.0,0.0
10-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
11-03-2020,1.0,5.0,2.0,3.0,2.0,1.0,0.0,2.0,2.0
12-03-2020,0.0,1.0,3.0,5.0,5.0,4.0,1.0,0.0,0.0
13-03-2020,0.0,3.0,4.0,10.0,7.0,5.0,4.0,1.0,0.0
14-03-2020,0.0,4.0,8.0,13.0,13.0,12.0,1.0,5.0,1.0
15-03-2020,0.0,6.0,9.0,18.0,12.0,17.0,6.0,6.0,2.0
16-03-2020,2.0,2.0,10.0,10.0,15.0,9.0,19.0,11.0,7.0
17-03-2020,0.0,5.0,17.0,23.0,25.0,21.0,15.0,7.0,5.0
18-03-2020,13.0,4.0,32.0,29.0,45.0,19.0,25.0,14.0,13.0
19-03-2020,1.0,3.0,15.0,29.0,29.0,29.0,19.0,10.0,8.0
20-03-2020,1.0,5.0,24.0,41.0,29.0,53.0,36.0,31.0,14.0
21-03-2020,0.0,5.0,31.0,47.0,46.0,40.0,48.0,23.0,21.0
22-03-2020,5.0,8.0,30.0,54.0,72.0,68.0,33.0,28.0,22.0
23-03-2020,2.0,9.0,53.0,59.0,90.0,79.0,81.0,39.0,48.0
24-03-2020,0.0,-1.0,38.0,47.0,44.0,62.0,54.0,33.0,25.0
25-03-2020,9.0,12.0,70.0,96.0,103.0,112.0,76.0,63.0,92.0
26-03-2020,9.0,23.0,52.0,88.0,120.0,102.0,60.0,41.0,54.0
27-03-2020,6.0,4.0,33.0,93.0,150.0,138.0,129.0,98.0,69.0
