,0-19,20-39,40-59,60-79,80+,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
01.03.2020,,,,,,,,,,,,,,,,,,,,,,,,
02.03.2020,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
03.03.2020,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
04.03.2020,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
05.03.2020,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
06.03.2020,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0
07.03.2020,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
08.03.2020,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,
09.03.2020,0.0,0.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
10.03.2020,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
11.03.2020,0.0,0.0,1.0,3.0,5.0,,,,,,,,,,,,,,,,,,,
12.03.2020,0.0,0.0,0.0,3.0,11.0,,,,,,,,,,,,,,,,,,,
13.03.2020,0.0,0.0,0.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,5.0,6.0,2.0,8.0,8.0,7.0
14.03.2020,0.0,1.0,2.0,10.0,9.0,,,,,,,,,,,,,,,,,,,
15.03.2020,0.0,0.0,1.0,17.0,9.0,,,,,,,,,,,,,,,,,,,
16.03.2020,0.0,0.0,3.0,12.0,25.0,,,,,,,,,,,,,,,,,,,
17.03.2020,0.0,0.0,1.0,13.0,32.0,,,,,,,,,,,,,,,,,,,
18.03.2020,1.0,1.0,4.0,21.0,39.0,,,,,,,,,,,,,,,,,,,
19.03.2020,0.0,1.0,5.0,21.0,36.0,,,,,,,,,,,,,,,,,,,
20.03.2020,0.0,1.0,12.0,30.0,62.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,7.0,17.0,13.0,21.0,28.0,39.0,46.0,73.0,84.0,69.0
21.03.2020,0.0,2.0,8.0,41.0,52.0,,,,,,,,,,,,,,,,,,,
22.03.2020,0.0,1.0,11.0,50.0,87.0,,,,,,,,,,,,,,,,,,,
23.03.2020,0.0,3.0,10.0,66.0,80.0,,,,,,,,,,,,,,,,,,,
24.03.2020,1.0,1.0,11.0,76.0,115.0,,,,,,,,,,,,,,,,,,,
25.03.2020,0.0,5.0,19.0,109.0,130.0,,,,,,,,,,,,,,,,,,,
26.03.2020,1.0,4.0,26.0,133.0,161.0,,,,,,,,,,,,,,,,,,,
