,0-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,Total known,Total unknown,Total,0-9,10-19
21.03.2020,,,,,,,,,,,,,,
22.03.2020,0.0,0.0,1.0,3.0,0.0,15.0,28.0,42.0,23.0,112.0,0.0,112.0,,
23.03.2020,0.0,0.0,0.0,2.0,8.0,22.0,47.0,69.0,36.0,184.0,2.0,186.0,,
24.03.2020,0.0,0.0,1.0,2.0,12.0,27.0,51.0,96.0,48.0,237.0,3.0,240.0,,
25.03.2020,1.0,1.0,0.0,2.0,10.0,25.0,63.0,121.0,63.0,286.0,2.0,288.0,,
26.03.2020,0.0,0.0,3.0,2.0,13.0,29.0,84.0,120.0,54.0,305.0,2.0,307.0,,
27.03.2020,0.0,0.0,0.0,3.0,12.0,29.0,63.0,118.0,71.0,296.0,3.0,299.0,,
28.03.2020,0.0,0.0,3.0,5.0,12.0,40.0,87.0,122.0,48.0,317.0,3.0,320.0,,
29.03.2020,0.0,1.0,1.0,4.0,12.0,29.0,82.0,108.0,53.0,290.0,2.0,292.0,,
30.03.2020,0.0,0.0,3.0,4.0,16.0,49.0,105.0,160.0,68.0,405.0,13.0,418.0,,
31.03.2020,0.0,1.0,1.0,6.0,26.0,60.0,124.0,186.0,86.0,490.0,9.0,499.0,,
01.04.2020,0.0,0.0,1.0,6.0,31.0,56.0,122.0,216.0,75.0,507.0,2.0,509.0,,
02.04.2020,0.0,0.0,3.0,8.0,31.0,58.0,136.0,161.0,75.0,472.0,-1.0,471.0,,
03.04.2020,0.0,0.0,5.0,9.0,32.0,77.0,141.0,222.0,101.0,587.0,1.0,588.0,,
04.04.2020,0.0,0.0,3.0,5.0,20.0,73.0,104.0,161.0,72.0,438.0,3.0,441.0,,
05.04.2020,0.0,0.0,2.0,7.0,24.0,36.0,106.0,119.0,62.0,356.0,1.0,357.0,,
06.04.2020,0.0,0.0,0.0,13.0,21.0,78.0,127.0,256.0,106.0,601.0,4.0,605.0,,
07.04.2020,0.0,3.0,1.0,7.0,36.0,61.0,140.0,248.0,100.0,596.0,1.0,597.0,,
08.04.2020,0.0,-1.0,6.0,5.0,30.0,54.0,127.0,205.0,112.0,538.0,3.0,541.0,,
09.04.2020,0.0,2.0,3.0,8.0,20.0,43.0,99.0,148.0,88.0,411.0,1.0,412.0,,
