,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,Total known,Total unknown,Total,0-59,90-99,100+
29.03.2020,,,,,,,,,,,,,,,,
27.04.2020,1.0,1.0,4.0,9.0,39.0,164.0,40.0,78.0,199.0,,428.0,1.0,429.0,,,
28.04.2020,0.0,0.0,1.0,3.0,0.0,7.0,11.0,37.0,82.0,,163.0,0.0,163.0,,21.0,1.0
29.04.2020,0.0,0.0,0.0,2.0,1.0,13.0,23.0,35.0,88.0,,202.0,0.0,202.0,,39.0,1.0
30.04.2020,0.0,0.0,0.0,0.0,1.0,6.0,15.0,28.0,83.0,,169.0,4.0,173.0,,34.0,2.0
01.05.2020,0.0,0.0,0.0,0.0,1.0,6.0,16.0,36.0,88.0,,194.0,-1.0,193.0,,46.0,1.0
02.05.2020,1.0,0.0,0.0,0.0,0.0,4.0,12.0,24.0,35.0,,94.0,0.0,94.0,,17.0,1.0
03.05.2020,0.0,0.0,0.0,0.0,1.0,6.0,5.0,19.0,35.0,,79.0,-5.0,74.0,,13.0,0.0
04.05.2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,20.0,,37.0,6.0,43.0,,7.0,0.0
05.05.2020,0.0,0.0,1.0,1.0,0.0,7.0,11.0,28.0,65.0,,140.0,-1.0,139.0,,26.0,1.0
06.05.2020,-1.0,0.0,0.0,1.0,1.0,5.0,18.0,33.0,69.0,,165.0,0.0,165.0,,36.0,3.0
07.05.2020,0.0,0.0,0.0,1.0,0.0,6.0,16.0,24.0,65.0,,128.0,-5.0,123.0,,16.0,0.0
08.05.2020,0.0,0.0,0.0,1.0,3.0,6.0,18.0,32.0,56.0,,151.0,-4.0,147.0,,35.0,0.0
09.05.2020,0.0,1.0,0.0,0.0,0.0,2.0,11.0,23.0,44.0,,103.0,0.0,103.0,,21.0,1.0
10.05.2020,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,11.0,,26.0,0.0,26.0,,6.0,0.0
11.05.2020,0.0,0.0,0.0,0.0,0.0,-2.0,3.0,4.0,9.0,,17.0,5.0,22.0,,3.0,0.0
12.05.2020,0.0,0.0,0.0,1.0,2.0,9.0,3.0,23.0,49.0,,116.0,0.0,116.0,,29.0,0.0
13.05.2020,0.0,0.0,1.0,1.0,0.0,1.0,14.0,24.0,46.0,,101.0,0.0,101.0,,14.0,0.0
14.05.2020,0.0,0.0,0.0,-1.0,0.0,0.0,7.0,23.0,40.0,,89.0,0.0,89.0,,20.0,0.0
15.05.2020,0.0,0.0,0.0,0.0,0.0,8.0,17.0,14.0,39.0,,101.0,0.0,101.0,,21.0,2.0
16.05.2020,0.0,0.0,0.0,0.0,1.0,4.0,5.0,13.0,19.0,,57.0,0.0,57.0,,14.0,1.0
17.05.2020,0.0,0.0,1.0,0.0,1.0,0.0,3.0,10.0,11.0,,33.0,0.0,33.0,,7.0,0.0
18.05.2020,0.0,0.0,-1.0,0.0,0.0,1.0,2.0,5.0,7.0,,21.0,0.0,21.0,,6.0,1.0
19.05.2020,0.0,0.0,0.0,0.0,1.0,2.0,13.0,15.0,29.0,,72.0,0.0,72.0,,12.0,0.0
20.05.2020,0.0,0.0,0.0,0.0,1.0,2.0,9.0,20.0,39.0,,83.0,0.0,83.0,,12.0,0.0
21.05.2020,0.0,0.0,0.0,0.0,0.0,2.0,6.0,13.0,29.0,,57.0,0.0,57.0,,7.0,0.0
22.05.2020,0.0,0.0,0.0,1.0,2.0,0.0,3.0,5.0,10.0,,27.0,0.0,27.0,,6.0,0.0
23.05.2020,0.0,0.0,0.0,0.0,2.0,3.0,1.0,12.0,15.0,,42.0,0.0,42.0,,9.0,0.0
24.05.2020,0.0,0.0,0.0,0.0,0.0,4.0,6.0,8.0,12.0,,36.0,-5.0,31.0,,6.0,0.0
25.05.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,4.0,,5.0,5.0,10.0,,2.0,0.0
26.05.2020,0.0,0.0,1.0,0.0,1.0,-1.0,8.0,8.0,22.0,,45.0,0.0,45.0,,6.0,0.0
27.05.2020,0.0,0.0,0.0,0.0,1.0,2.0,4.0,9.0,23.0,,47.0,0.0,47.0,,8.0,0.0
28.05.2020,0.0,0.0,0.0,0.0,3.0,3.0,8.0,13.0,22.0,,62.0,0.0,62.0,,13.0,0.0
29.05.2020,0.0,0.0,0.0,0.0,0.0,1.0,6.0,11.0,12.0,,39.0,0.0,39.0,,9.0,0.0
30.05.2020,0.0,0.0,0.0,0.0,0.0,1.0,6.0,9.0,18.0,,39.0,0.0,39.0,,5.0,0.0
31.05.2020,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,5.0,,11.0,0.0,11.0,,2.0,0.0
01.06.2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,,11.0,0.0,11.0,,2.0,0.0
02.06.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,,11.0,0.0,11.0,,4.0,0.0
03.06.2020,0.0,0.0,0.0,1.0,0.0,1.0,4.0,10.0,15.0,,34.0,-5.0,29.0,,3.0,0.0
04.06.2020,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,13.0,,25.0,5.0,30.0,,2.0,0.0
05.06.2020,0.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0,8.0,,32.0,0.0,32.0,,9.0,0.0
06.06.2020,0.0,0.0,0.0,0.0,1.0,0.0,2.0,7.0,15.0,,33.0,0.0,33.0,,8.0,0.0
07.06.2020,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,9.0,,22.0,0.0,22.0,,3.0,1.0
08.06.2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,,6.0,0.0,6.0,,2.0,0.0
09.06.2020,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,22.0,,37.0,0.0,37.0,,6.0,0.0
10.06.2020,0.0,0.0,0.0,0.0,0.0,4.0,4.0,6.0,2.0,,18.0,0.0,18.0,,3.0,-1.0
11.06.2020,0.0,0.0,0.0,1.0,0.0,-1.0,2.0,11.0,10.0,,26.0,0.0,26.0,,3.0,0.0
12.06.2020,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,3.0,3.0,,8.0,0.0,8.0,,2.0,0.0
13.06.2020,0.0,0.0,0.0,0.0,1.0,3.0,4.0,5.0,4.0,,18.0,0.0,18.0,,1.0,0.0
14.06.2020,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,,6.0,0.0,6.0,,0.0,0.0
15.06.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,4.0,0.0,4.0,,0.0,0.0
16.06.2020,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,,9.0,0.0,9.0,,2.0,0.0
17.06.2020,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,8.0,,30.0,0.0,30.0,,9.0,1.0
18.06.2020,0.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,8.0,,26.0,0.0,26.0,,6.0,0.0
19.06.2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,,16.0,0.0,16.0,,5.0,0.0
20.06.2020,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,5.0,,11.0,0.0,11.0,,1.0,0.0
21.06.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,,-1.0,0.0,-1.0,,0.0,0.0
22.06.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,3.0,0.0,3.0,,-1.0,0.0
23.06.2020,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0,,10.0,0.0,10.0,,1.0,0.0
24.06.2020,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,8.0,,19.0,0.0,19.0,,7.0,0.0
25.06.2020,0.0,0.0,1.0,0.0,2.0,1.0,0.0,6.0,3.0,,13.0,0.0,13.0,,0.0,0.0
26.06.2020,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,6.0,,21.0,0.0,21.0,,6.0,0.0
27.06.2020,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,,6.0,0.0,6.0,,-1.0,0.0
28.06.2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,,3.0,0.0,3.0,,0.0,0.0
29.06.2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,,4.0,0.0,4.0,,0.0,0.0
30.06.2020,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,,12.0,0.0,12.0,,4.0,0.0
01.07.2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,,12.0,0.0,12.0,,2.0,-1.0
02.07.2020,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,7.0,,9.0,0.0,9.0,,1.0,0.0
03.07.2020,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,,9.0,0.0,9.0,,2.0,0.0
04.07.2020,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,,7.0,0.0,7.0,,0.0,0.0
05.07.2020,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,,2.0,0.0,2.0,,1.0,1.0
06.07.2020,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,,4.0,0.0,4.0,,0.0,0.0
07.07.2020,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,,8.0,0.0,8.0,,0.0,0.0
08.07.2020,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,,12.0,0.0,12.0,,4.0,0.0
09.07.2020,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,,12.0,0.0,12.0,,3.0,0.0
10.07.2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,6.0,0.0,6.0,,3.0,0.0
11.07.2020,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,,6.0,0.0,6.0,,1.0,0.0
12.07.2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,3.0,0.0,3.0,,1.0,0.0
13.07.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,,0.0,0.0
14.07.2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,,4.0,0.0,4.0,,0.0,0.0
15.07.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,3.0,0.0,3.0,,1.0,0.0
16.07.2020,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,,7.0,0.0,7.0,,1.0,0.0
17.07.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,,4.0,0.0,4.0,,0.0,-1.0
18.07.2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,1.0,0.0,1.0,,-1.0,0.0
19.07.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,,1.0,0.0
20.07.2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,2.0,0.0,2.0,,0.0,0.0
21.07.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,5.0,,4.0,0.0,4.0,,0.0,0.0
22.07.2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,,5.0,0.0,5.0,,1.0,0.0
23.07.2020,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,,6.0,0.0,6.0,,0.0,0.0
24.07.2020,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,,10.0,0.0,10.0,,4.0,0.0
25.07.2020,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,,7.0,0.0,7.0,,2.0,0.0
26.07.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
27.07.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
28.07.2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,,4.0,0.0,4.0,,1.0,0.0
29.07.2020,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,,6.0,0.0,6.0,,1.0,0.0
30.07.2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,,11.0,-5.0,6.0,,2.0,0.0
31.07.2020,,,,,,,,,,,,9141.0,7.0,,,
01.08.2020,,,,,,,,,,,,-9136.0,7.0,,,
02.08.2020,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,-5.0,,-7.0,0.0,-7.0,,-2.0,0.0
03.08.2020,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,,7.0,0.0,7.0,,2.0,0.0
04.08.2020,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,,8.0,0.0,8.0,,0.0,0.0
05.08.2020,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,,12.0,0.0,12.0,,2.0,0.0
06.08.2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,,7.0,0.0,7.0,,1.0,0.0
07.08.2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,,9.0,0.0,9.0,,4.0,0.0
08.08.2020,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,,12.0,-1.0,11.0,,2.0,0.0
09.08.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,,0.0,0.0
10.08.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,,0.0,0.0
11.08.2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,,4.0,0.0,4.0,,0.0,0.0
12.08.2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,,6.0,0.0,6.0,,1.0,0.0
13.08.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,,4.0,0.0,4.0,,0.0,0.0
14.08.2020,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,,14.0,0.0,14.0,,2.0,0.0
15.08.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,,6.0,0.0,6.0,,0.0,0.0
16.08.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
17.08.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,,1.0,0.0
18.08.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,4.0,0.0,4.0,,2.0,0.0
19.08.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,7.0,0.0,7.0,,2.0,1.0
20.08.2020,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,,10.0,0.0,10.0,,2.0,0.0
21.08.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,,7.0,0.0,7.0,,1.0,0.0
22.08.2020,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,,7.0,0.0,7.0,,1.0,1.0
23.08.2020,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,2.0,0.0,2.0,,0.0,0.0
24.08.2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,3.0,0.0,3.0,,1.0,0.0
25.08.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,,5.0,0.0,5.0,,0.0,0.0
26.08.2020,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,,3.0,0.0,3.0,,1.0,0.0
27.08.2020,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,5.0,0.0,5.0,,1.0,0.0
28.08.2020,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,3.0,0.0,3.0,,0.0,0.0
29.08.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.0,,1.0,0.0,1.0,,1.0,0.0
30.08.2020,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,,6.0,0.0,6.0,,0.0,0.0
31.08.2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,,3.0,0.0,3.0,,0.0,0.0
01.09.2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,,4.0,0.0,4.0,,0.0,0.0
02.09.2020,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,,11.0,0.0,11.0,,2.0,0.0
03.09.2020,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,,8.0,0.0,8.0,,0.0,0.0
04.09.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,,0.0,0.0
05.09.2020,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,,3.0,-1.0,2.0,,-1.0,0.0
06.09.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,,0.0,0.0
