,<40,40-49,50-59,60-69,70-79,80-89,90+,Total known,Total unknown,Total
15.04.2020,,,,,,,,,,
16.04.2020,0.0,0.0,0.0,0.0,4.0,1.0,0.0,5.0,0.0,5.0
17.04.2020,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,1.0,0.0,1.0
18.04.2020,0.0,0.0,1.0,1.0,4.0,4.0,1.0,11.0,0.0,11.0
19.04.2020,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,6.0
21.04.2020,0.0,0.0,0.0,1.0,3.0,4.0,1.0,9.0,0.0,9.0
22.04.2020,0.0,0.0,0.0,0.0,4.0,0.0,2.0,6.0,0.0,6.0
23.04.2020,0.0,0.0,0.0,1.0,4.0,2.0,4.0,11.0,0.0,11.0
24.04.2020,0.0,2.0,0.0,2.0,2.0,4.0,1.0,11.0,0.0,11.0
27.04.2020,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0
28.04.2020,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0
29.04.2020,0.0,0.0,0.0,1.0,3.0,1.0,2.0,7.0,0.0,7.0
30.04.2020,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0
04.05.2020,0.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,0.0,4.0
05.05.2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
06.05.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07.05.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08.05.2020,0.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,0.0,4.0
11.05.2020,0.0,1.0,0.0,1.0,1.0,3.0,5.0,11.0,0.0,11.0
12.05.2020,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,0.0,4.0
13.05.2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
14.05.2020,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,3.0
15.05.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.05.2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
19.05.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.05.2020,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
22.05.2020,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
25.05.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.05.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.05.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.05.2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
29.05.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.06.2020,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
03.06.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04.06.2020,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
05.06.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08.06.2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
09.06.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.06.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.06.2020,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,3.0
12.06.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.06.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.06.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.06.2020,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
18.06.2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
19.06.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.06.2020,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,4.0
23.06.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.06.2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
25.06.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.06.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.06.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.06.2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
01.07.2020,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
02.07.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
