,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,Total known,Total unknown,Total
23.03.2020,,,,,,,,,,,,
24.03.2020,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,4.0,10.0,0.0,10.0
25.03.2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,17.0,0.0,17.0
26.03.2020,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,10.0,16.0,0.0,16.0
27.03.2020,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,15.0,24.0,0.0,24.0
28.03.2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,12.0,19.0,0.0,19.0
29.03.2020,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,15.0,21.0,0.0,21.0
30.03.2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,12.0,20.0,0.0,20.0
31.03.2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,23.0,27.0,0.0,27.0
01.04.2020,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,16.0,22.0,0.0,22.0
02.04.2020,0.0,0.0,0.0,0.0,0.0,1.0,3.0,13.0,20.0,37.0,0.0,37.0
03.04.2020,0.0,0.0,0.0,0.0,2.0,-1.0,3.0,2.0,14.0,20.0,0.0,20.0
04.04.2020,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,20.0,29.0,0.0,29.0
05.04.2020,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,9.0,16.0,0.0,16.0
06.04.2020,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,20.0,34.0,0.0,34.0
07.04.2020,0.0,0.0,0.0,0.0,0.0,1.0,3.0,9.0,22.0,35.0,0.0,35.0
08.04.2020,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,24.0,29.0,0.0,29.0
09.04.2020,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,19.0,26.0,0.0,26.0
10.04.2020,0.0,0.0,0.0,0.0,0.0,4.0,5.0,8.0,18.0,35.0,0.0,35.0
11.04.2020,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,25.0,34.0,0.0,34.0
12.04.2020,0.0,0.0,0.0,0.0,1.0,1.0,5.0,3.0,21.0,31.0,0.0,31.0
13.04.2020,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,22.0,32.0,0.0,32.0
14.04.2020,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,21.0,32.0,0.0,32.0
15.04.2020,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,22.0,30.0,0.0,30.0
16.04.2020,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,20.0,28.0,0.0,28.0
17.04.2020,0.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,18.0,30.0,0.0,30.0
18.04.2020,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,19.0,27.0,0.0,27.0
19.04.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,21.0,0.0,21.0
20.04.2020,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,20.0,27.0,0.0,27.0
