region,country,country_no,country_code,excelsource,excelsheet,age_group,pop_date,pop_male,pop_female,pop_both,death_reference_date,death_reference_date_type,cum_death_male,cum_death_female,cum_death_unknown,cum_death_both
Europe,Austria,40,AUT,Deaths-Age-Sex_Covid-19_Austria_29-09.xlsx,EMS_Data,0-4,01.01.2019,224072,211061,435133,17.04.2020,report,NA,NA,0,0
Europe,Austria,40,AUT,Deaths-Age-Sex_Covid-19_Austria_29-09.xlsx,EMS_Data,5-14,01.01.2019,433500,410059,843559,17.04.2020,report,NA,NA,0,0
Europe,Austria,40,AUT,Deaths-Age-Sex_Covid-19_Austria_29-09.xlsx,EMS_Data,15-24,01.01.2019,500178,469589,969767,17.04.2020,report,NA,NA,0,0
Europe,Austria,40,AUT,Deaths-Age-Sex_Covid-19_Austria_29-09.xlsx,EMS_Data,25-34,01.01.2019,615441,591433,1206874,17.04.2020,report,NA,NA,0,1
Europe,Austria,40,AUT,Deaths-Age-Sex_Covid-19_Austria_29-09.xlsx,EMS_Data,35-44,01.01.2019,585813,580801,1166614,17.04.2020,report,NA,NA,0,0
Europe,Austria,40,AUT,Deaths-Age-Sex_Covid-19_Austria_29-09.xlsx,EMS_Data,45-54,01.01.2019,678689,679454,1358143,17.04.2020,report,NA,NA,0,4
Europe,Austria,40,AUT,Deaths-Age-Sex_Covid-19_Austria_29-09.xlsx,EMS_Data,55-64,01.01.2019,596511,613615,1210126,17.04.2020,report,NA,NA,0,13
Europe,Austria,40,AUT,Deaths-Age-Sex_Covid-19_Austria_29-09.xlsx,EMS_Data,65-74,01.01.2019,388398,445072,833470,17.04.2020,report,NA,NA,0,67
Europe,Austria,40,AUT,Deaths-Age-Sex_Covid-19_Austria_29-09.xlsx,EMS_Data,75-84,01.01.2019,261249,347902,609151,17.04.2020,report,NA,NA,0,147
Europe,Austria,40,AUT,Deaths-Age-Sex_Covid-19_Austria_29-09.xlsx,EMS_Data,85+,01.01.2019,73182,152756,225938,17.04.2020,report,NA,NA,0,143
Europe,Austria,40,AUT,Deaths-Age-Sex_Covid-19_Austria_29-09.xlsx,EMS_Data,Total known,01.01.2019,4357033,4501742,8858775,17.04.2020,report,NA,NA,0,375
Europe,Austria,40,AUT,Deaths-Age-Sex_Covid-19_Austria_29-09.xlsx,EMS_Data,Total unknown,01.01.2019,0,0,0,17.04.2020,report,NA,NA,0,0
Europe,Austria,40,AUT,Deaths-Age-Sex_Covid-19_Austria_29-09.xlsx,EMS_Data,Total,01.01.2019,4357033,4501742,8858775,17.04.2020,report,218,157,0,375
Europe,Austria,40,AUT,Deaths-Age-Sex_Covid-19_Austria_29-09.xlsx,EMS_Data,0-4,01.01.2019,224072,211061,435133,18.04.2020,report,NA,NA,0,0
Europe,Austria,40,AUT,Deaths-Age-Sex_Covid-19_Austria_29-09.xlsx,EMS_Data,5-14,01.01.2019,433500,410059,843559,18.04.2020,report,NA,NA,0,0
Europe,Austria,40,AUT,Deaths-Age-Sex_Covid-19_Austria_29-09.xlsx,EMS_Data,15-24,01.01.2019,500178,469589,969767,18.04.2020,report,NA,NA,0,0
Europe,Austria,40,AUT,Deaths-Age-Sex_Covid-19_Austria_29-09.xlsx,EMS_Data,25-34,01.01.2019,615441,591433,1206874,18.04.2020,report,NA,NA,0,1
Europe,Austria,40,AUT,Deaths-Age-Sex_Covid-19_Austria_29-09.xlsx,EMS_Data,35-44,01.01.2019,585813,580801,1166614,18.04.2020,report,NA,NA,0,0
Europe,Austria,40,AUT,Deaths-Age-Sex_Covid-19_Austria_29-09.xlsx,EMS_Data,45-54,01.01.2019,678689,679454,1358143,18.04.2020,report,NA,NA,0,4
Europe,Austria,40,AUT,Deaths-Age-Sex_Covid-19_Austria_29-09.xlsx,EMS_Data,55-64,01.01.2019,596511,613615,1210126,18.04.2020,report,NA,NA,0,13
Europe,Austria,40,AUT,Deaths-Age-Sex_Covid-19_Austria_29-09.xlsx,EMS_Data,65-74,01.01.2019,388398,445072,833470,18.04.2020,report,NA,NA,0,68
Europe,Austria,40,AUT,Deaths-Age-Sex_Covid-19_Austria_29-09.xlsx,EMS_Data,75-84,01.01.2019,261249,347902,609151,18.04.2020,report,NA,NA,0,148
