,Phi,k,N_equilibrium
0,0.1,0.05,0.0810781
1,0.3,0.05,0.243234
2,0.5,0.05,0.40539000000000003
3,0.7,0.05,0.567547
4,0.9,0.05,0.729703
5,1.1,0.05,0.8918590000000001
6,1.3,0.05,1.0540200000000002
7,1.5,0.05,1.21617
8,1.7,0.05,1.3783299999999998
9,1.9,0.05,1.5404799999999998
10,10.1,0.05,8.188889999999999
11,10.3,0.05,8.35104
12,10.5,0.05,8.5132
13,2.1,0.05,1.7026400000000002
14,2.3,0.05,1.8648
15,2.5,0.05,2.02695
16,2.7,0.05,2.18911
17,2.9,0.05,2.35126
18,0.9,0.425,2.70725
19,1.1,0.425,3.3088599999999997
20,1.3,0.425,3.9104699999999997
21,1.5,0.425,4.51209
22,1.7,0.425,5.1137
23,1.9,0.425,5.71531
24,10.1,0.425,30.3814
25,10.3,0.425,30.983
26,10.5,0.425,31.5846
27,2.1,0.425,6.31692
28,2.3,0.425,6.9185300000000005
29,2.5,0.425,7.52014
30,2.7,0.425,8.12176
31,2.9,0.425,8.72337
32,3.1,0.425,9.32498
33,3.3,0.425,9.92659
34,3.5,0.425,10.5282
35,3.7,0.425,11.1298
36,3.1,0.05,2.51342
37,6.3,0.05,5.10792
38,9.5,0.05,7.70242
39,2.7,0.055,2.21535
40,5.9,0.055,4.84094
41,9.1,0.055,7.466539999999999
42,2.3,0.06,1.9099099999999998
43,5.5,0.06,4.56717
44,8.7,0.06,7.22443
45,1.9,0.065,1.5969
46,5.1,0.065,4.2864
47,8.3,0.065,6.975910000000001
48,1.5,0.07,1.2761
49,4.7,0.07,3.9984599999999997
50,6.5,0.61,1.45366e+36
51,6.7,0.61,1.82642e+36
52,6.9,0.61,2.26668e+36
53,7.1,0.61,2.78153e+36
54,7.3,0.61,3.37825e+36
55,7.5,0.61,4.0639100000000004e+36
56,7.7,0.61,4.8454700000000004e+36
57,7.9,0.61,5.73072e+36
58,8.1,0.61,6.72604e+36
59,8.3,0.61,7.83844e+36
60,8.5,0.61,9.075200000000001e+36
61,8.7,0.61,1.04426e+37
62,8.9,0.61,1.19467e+37
63,9.1,0.61,1.3594400000000002e+37
64,9.3,0.61,1.53911e+37
65,6.7,0.235,9.00339
66,6.9,0.235,9.27215
67,7.1,0.235,9.54091
68,7.3,0.235,9.80967
69,7.5,0.235,10.0784
70,7.7,0.235,10.3472
71,7.9,0.235,10.6159
72,8.1,0.235,10.8847
73,8.3,0.235,11.1535
74,8.5,0.235,11.4222
75,8.7,0.235,11.690999999999999
76,8.9,0.235,11.9597
77,9.1,0.235,12.2285
78,9.3,0.235,12.4972
79,9.5,0.235,12.765999999999998
80,4.7,0.705,7.617110000000001e+54
81,4.9,0.705,8.88148e+54
82,5.1,0.705,1.02814e+55
83,5.3,0.705,1.1822600000000001e+55
84,5.5,0.705,1.35118e+55
85,5.7,0.705,1.5355e+55
86,5.9,0.705,1.7356800000000002e+55
87,6.1,0.705,1.95246e+55
88,6.3,0.705,2.1862400000000002e+55
89,6.5,0.705,2.4374900000000003e+55
90,6.7,0.705,2.70676e+55
91,6.9,0.705,2.9945600000000004e+55
92,7.1,0.705,3.3013e+55
93,7.3,0.705,3.62727e+55
94,7.5,0.705,3.9730600000000004e+55
95,8.3,0.515,50.9833
96,8.5,0.515,52.2118
97,8.7,0.515,53.4403
98,8.9,0.515,54.6688
99,9.1,0.515,55.8973
100,9.3,0.515,57.1258
101,9.5,0.515,58.3543
102,9.7,0.515,59.5829
103,9.9,0.515,60.8114
104,0.1,0.52,0.6502319999999999
105,0.3,0.52,1.95069
106,0.5,0.52,3.25116
107,0.7,0.52,4.55162
108,0.9,0.52,5.85208
109,1.1,0.52,7.15255
110,3.7,0.33,7.002439999999999
111,3.9,0.33,7.38095
112,4.1,0.33,7.759460000000001
113,4.3,0.33,8.13797
114,4.5,0.33,8.51648
115,4.7,0.33,8.89499
116,4.9,0.33,9.2735
117,5.1,0.33,9.65201
118,5.3,0.33,10.0305
119,5.5,0.33,10.409
120,5.7,0.33,10.7875
121,5.9,0.33,11.1661
122,6.1,0.33,11.5446
123,6.3,0.33,11.9231
124,6.5,0.33,12.3016
125,7.1,0.75,9.90769e+63
126,7.3,0.75,1.07508e+64
127,7.5,0.75,1.16362e+64
128,7.7,0.75,1.25636e+64
129,7.9,0.75,1.3534e+64
130,8.1,0.75,1.4546000000000003e+64
131,8.3,0.75,1.56042e+64
132,8.5,0.75,1.6705400000000003e+64
133,8.7,0.75,1.7850300000000002e+64
134,8.9,0.75,1.90395e+64
135,9.1,0.75,2.0274000000000002e+64
136,9.3,0.75,2.1553300000000002e+64
137,9.5,0.75,2.28776e+64
138,9.7,0.75,2.4247200000000002e+64
139,9.9,0.75,2.5662099999999998e+64
140,3.3,0.05,2.67558
141,3.5,0.05,2.83773
142,3.7,0.05,2.99989
143,3.9,0.05,3.16205
144,4.1,0.05,3.3242
145,4.3,0.05,3.48636
146,4.5,0.05,3.64851
147,4.7,0.05,3.8106699999999996
148,4.9,0.05,3.97283
149,5.1,0.05,4.1349800000000005
150,5.3,0.05,4.29714
151,5.5,0.05,4.45929
152,5.7,0.05,4.62145
153,5.9,0.05,4.7836099999999995
154,6.1,0.05,4.94576
155,1.5,0.52,9.75347
156,1.7,0.52,11.0539
157,1.9,0.52,12.3544
158,10.1,0.52,65.6734
159,10.3,0.52,66.9739
160,10.5,0.52,68.2743
161,2.1,0.52,13.6549
162,2.3,0.52,14.9553
163,2.5,0.52,16.2558
164,2.7,0.52,17.5563
165,2.9,0.52,18.8567
166,3.1,0.52,20.1572
167,3.3,0.52,21.4576
168,3.5,0.52,22.7581
169,3.7,0.52,24.0586
170,3.9,0.52,25.359
