Phi,k,N_equilibrium
0.1,0.1,0.0916571
0.1,0.101,0.09188989999999998
0.1,0.102,0.0921237
0.1,0.103,0.0923584
0.1,0.104,0.0925941
0.1,0.105,0.0928307
0.1,0.106,0.0930682
0.1,0.107,0.0933067
0.1,0.108,0.09354610000000001
0.1,0.109,0.0937865
0.1,0.11,0.09402780000000001
0.1,0.111,0.0942702
0.1,0.112,0.0945135
0.1,0.113,0.0947577
0.1,0.114,0.095003
0.1,0.115,0.09524930000000001
0.1,0.116,0.0954965
0.1,0.117,0.09574479999999999
0.1,0.118,0.0959941
0.1,0.119,0.0962444
0.1,0.12,0.0964957
0.1,0.121,0.09674810000000002
0.1,0.122,0.0970015
0.1,0.123,0.097256
0.1,0.124,0.0975115
0.1,0.125,0.097768
0.1,0.126,0.0980256
0.1,0.127,0.0982843
0.1,0.128,0.09854410000000001
0.1,0.129,0.0988049
0.1,0.13,0.0990669
0.1,0.131,0.0993299
0.1,0.132,0.0995941
0.1,0.133,0.09985930000000001
0.1,0.134,0.10012599999999999
0.1,0.135,0.100393
0.1,0.136,0.100662
0.1,0.137,0.10093200000000001
0.1,0.138,0.101203
0.1,0.139,0.101475
0.1,0.14,0.101748
0.1,0.141,0.102022
0.1,0.142,0.102298
0.1,0.143,0.102575
0.1,0.144,0.102853
0.1,0.145,0.10313199999999999
0.1,0.146,0.10341199999999999
0.1,0.147,0.10369400000000001
0.1,0.148,0.103977
0.1,0.149,0.10426099999999999
0.1,0.15,0.104546
0.1,0.151,0.104832
0.1,0.152,0.10512
0.1,0.153,0.10540899999999999
0.1,0.154,0.1057
0.1,0.155,0.105991
0.1,0.156,0.10628399999999999
0.1,0.157,0.10657799999999999
0.1,0.158,0.106874
0.1,0.159,0.107171
0.1,0.16,0.10746900000000001
0.1,0.161,0.107768
0.1,0.162,0.10806900000000001
0.1,0.163,0.10837100000000001
0.1,0.164,0.108675
0.1,0.165,0.10898
0.1,0.166,0.109286
0.1,0.167,0.10959300000000001
0.1,0.168,0.109903
0.1,0.169,0.110213
0.1,0.17,0.110525
0.1,0.171,0.110838
0.1,0.172,0.111153
0.1,0.173,0.111469
0.1,0.174,0.11178699999999998
0.1,0.175,0.112106
0.1,0.176,0.112426
0.1,0.177,0.112748
0.1,0.178,0.113072
0.1,0.179,0.113397
0.1,0.18,0.113724
0.1,0.181,0.114052
0.1,0.182,0.114381
0.1,0.183,0.11471300000000001
