Datum des Erkrankungsbeginns,Punktschätzer der Anzahl Neuerkrankungen (ohne Glättung),Untere Grenze des 95%-Prädiktionsintervalls der Anzahl Neuerkrankungen (ohne Glättung),Obere Grenze des 95%-Prädiktionsintervalls der Anzahl Neuerkrankungen (ohne Glättung),Punktschätzer der Anzahl Neuerkrankungen,Untere Grenze des 95%-Prädiktionsintervalls der Anzahl Neuerkrankungen,Obere Grenze des 95%-Prädiktionsintervalls der Anzahl Neuerkrankungen,Punktschätzer der Reproduktionszahl R,Untere Grenze des 95%-Prädiktionsintervalls der Reproduktionszahl R,Obere Grenze des 95%-Prädiktionsintervalls der Reproduktionszahl R,Punktschätzer des 7-Tage-R Wertes,Untere Grenze des 95%-Prädiktionsintervalls des 7-Tage-R Wertes,Obere Grenze des 95%-Prädiktionsintervalls des 7-Tage-R Wertes
03/02/2020,306,291,321,225,212,238,,,,,,
03/03/2020,325,308,342,262,248,276,,,,,,
03/04/2020,453,432,476,328,311,344,,,,,,
03/05/2020,506,484,528,397,378,416,,,,,,
03/06/2020,766,743,791,512,491,534,2.28,2.2,2.35,2.34,2.3,2.39
03/07/2020,989,964,1015,678,655,702,2.59,2.51,2.66,2.56,2.52,2.6
03/08/2020,1334,1300,1370,899,873,926,2.74,2.66,2.82,2.92,2.87,2.99
03/09/2020,2013,1972,2053,1276,1245,1307,3.21,3.12,3.31,3.11,3.07,3.16
03/10/2020,2570,2524,2616,1727,1690,1764,3.37,3.29,3.45,3.2,3.15,3.24
03/11/2020,3238,3195,3296,2289,2248,2334,3.37,3.32,3.44,3.1,3.06,3.14
03/12/2020,3595,3543,3644,2854,2808,2902,3.17,3.12,3.23,2.84,2.81,2.87
03/13/2020,4382,4322,4444,3446,3396,3500,2.7,2.66,2.74,2.5,2.48,2.53
03/14/2020,4459,4399,4519,3918,3865,3976,2.27,2.24,2.3,2.18,2.17,2.2
03/15/2020,4687,4627,4746,4281,4223,4338,1.87,1.85,1.89,2,1.98,2.01
03/16/2020,6039,5978,6101,4892,4831,4952,1.71,1.7,1.74,1.75,1.74,1.76
03/17/2020,5251,5185,5309,5109,5047,5169,1.48,1.47,1.5,1.56,1.55,1.57
03/18/2020,5301,5234,5364,5320,5256,5380,1.36,1.34,1.37,1.4,1.39,1.4
03/19/2020,4727,4677,4789,5330,5268,5391,1.25,1.23,1.25,1.24,1.23,1.24
03/20/2020,5321,5266,5373,5150,5090,5209,1.05,1.04,1.06,1.13,1.13,1.14
03/21/2020,4441,4381,4500,4947,4889,5006,0.97,0.96,0.98,1.04,1.03,1.04
03/22/2020,3814,3760,3875,4576,4521,4634,0.86,0.85,0.87,0.98,0.97,0.98
03/23/2020,5160,5102,5218,4684,4627,4741,0.88,0.87,0.89,0.92,0.91,0.92
03/24/2020,4093,4027,4156,4377,4317,4437,0.85,0.84,0.86,0.89,0.89,0.9
03/25/2020,4405,4341,4469,4368,4307,4429,0.88,0.87,0.89,0.9,0.89,0.9
03/26/2020,4017,3956,4073,4419,4356,4479,0.97,0.96,0.97,0.88,0.88,0.89
03/27/2020,4127,4069,4194,4161,4098,4223,0.89,0.88,0.9,0.9,0.89,0.9
03/28/2020,3879,3823,3947,4107,4047,4171,0.94,0.93,0.95,0.91,0.9,0.91
03/29/2020,3275,3214,3330,3825,3765,3886,0.88,0.87,0.88,0.9,0.9,0.91
03/30/2020,4401,4341,4467,3921,3861,3984,0.89,0.88,0.9,0.92,0.92,0.93
03/31/2020,3596,3538,3660,3788,3729,3851,0.91,0.9,0.92,0.93,0.92,0.93
04/01/2020,4045,3984,4114,3829,3769,3892,0.93,0.92,0.94,0.93,0.93,0.94
04/02/2020,3731,3672,3796,3943,3883,4009,1.03,1.02,1.04,0.95,0.94,0.95
04/03/2020,3742,3678,3799,3779,3718,3842,0.96,0.95,0.97,0.93,0.93,0.94
