Datum des Erkrankungsbeginns;Punktsch‰tzer der Anzahl Neuerkrankungen (ohne Gl‰ttung);Untere Grenze des 95%-Pr‰diktionsintervalls der Anzahl Neuerkrankungen (ohne Gl‰ttunt);Obere Grenze des 95%-Pr‰diktionsintervalls der Anzahl Neuerkrankungen (ohne Gl‰ttung);Punktsch‰tzer der Anzahl Neuerkrankungen;Untere Grenze des 95%-Pr‰diktionsintervalls der Anzahl Neuerkrankungen;Obere Grenze des 95%-Pr‰diktionsintervalls der Anzahl Neuerkrankungen;Punktsch‰tzer der Reproduktionszahl R;Untere Grenze des 95%-Pr‰diktionsintervalls der Reproduktionszahl R;Obere Grenze des 95%-Pr‰diktionsintervalls der Reproduktionszahl R;Punktsch‰tzer des 7-Tage-R Wertes;Untere Grenze des 95%-Pr‰diktionsintervalls des 7-Tage-R Wertes;Obere Grenze des 95%-Pr‰diktionsintervalls des 7-Tage-R Wertes
02.03.2020;305;291;324;226;213;239;.;.;.;.;.;.
03.03.2020;321;305;338;261;248;277;.;.;.;.;.;.
04.03.2020;449;431;466;326;311;343;.;.;.;.;.;.
05.03.2020;503;483;523;394;377;412;.;.;.;.;.;.
06.03.2020;761;734;789;508;488;529;2,25;2,18;2,34;2,34;2,29;2,39
07.03.2020;984;954;1013;674;650;697;2,58;2,48;2,66;2,56;2,51;2,61
08.03.2020;1334;1306;1364;895;869;922;2,74;2,66;2,82;2,93;2,88;2,98
09.03.2020;2019;1985;2058;1274;1245;1306;3,23;3,15;3,32;3,12;3,07;3,17
10.03.2020;2569;2529;2614;1726;1693;1762;3,4;3,33;3,47;3,21;3,17;3,26
11.03.2020;3239;3196;3287;2290;2254;2330;3,4;3,34;3,46;3,12;3,08;3,15
12.03.2020;3607;3554;3665;2858;2816;2906;3,19;3,15;3,25;2,84;2,82;2,87
13.03.2020;4358;4304;4412;3443;3396;3494;2,7;2,66;2,73;2,5;2,48;2,52
14.03.2020;4434;4375;4488;3909;3857;3963;2,26;2,24;2,29;2,18;2,17;2,2
15.03.2020;4679;4607;4742;4269;4210;4326;1,86;1,85;1,88;1,99;1,98;2
16.03.2020;6021;5962;6090;4873;4812;4933;1,71;1,69;1,72;1,74;1,73;1,75
17.03.2020;5233;5176;5298;5092;5030;5154;1,48;1,47;1,49;1,56;1,55;1,57
18.03.2020;5292;5233;5346;5306;5244;5369;1,36;1,35;1,37;1,4;1,39;1,4
19.03.2020;4729;4669;4795;5319;5260;5382;1,25;1,23;1,26;1,24;1,23;1,24
20.03.2020;5327;5272;5384;5145;5087;5206;1,06;1,05;1,06;1,13;1,13;1,14
21.03.2020;4441;4383;4501;4947;4889;5006;0,97;0,96;0,98;1,04;1,03;1,04
22.03.2020;3811;3750;3876;4577;4518;4639;0,86;0,86;0,87;0,98;0,97;0,98
23.03.2020;5155;5094;5217;4683;4625;4744;0,88;0,87;0,89;0,92;0,91;0,92
24.03.2020;4070;4008;4125;4369;4309;4430;0,85;0,84;0,86;0,89;0,89;0,9
25.03.2020;4420;4358;4479;4364;4303;4424;0,88;0,87;0,89;0,9;0,89;0,9
26.03.2020;3997;3939;4054;4410;4350;4469;0,96;0,95;0,97;0,88;0,88;0,89
27.03.2020;4126;4075;4187;4153;4095;4211;0,89;0,88;0,89;0,9;0,89;0,9
28.03.2020;3887;3829;3958;4107;4050;4169;0,94;0,93;0,95;0,91;0,9;0,91
29.03.2020;3264;3200;3331;3818;3761;3882;0,88;0,87;0,88;0,9;0,9;0,91
30.03.2020;4394;4322;4457;3918;3857;3983;0,89;0,88;0,9;0,92;0,92;0,93
31.03.2020;3579;3523;3635;3781;3718;3845;0,91;0,9;0,92;0,93;0,92;0,93
01.04.2020;4041;3986;4105;3819;3758;3882;0,93;0,92;0,94;0,93;0,93;0,94
02.04.2020;3729;3666;3792;3936;3874;3997;1,03;1,02;1,04;0,95;0,94;0,95
03.04.2020;3727;3664;3787;3769;3710;3830;0,96;0,95;0,97;0,93;0,92;0,94
04.04.2020;3009;2954;3072;3627;3568;3689;0,96;0,95;0,97;0,92;0,92;0,93
05.04.2020;2698;2648;2763;3291;3233;3353;0,86;0,85;0,87;0,89;0,89;0,9
06.04.2020;3350;3293;3406;3196;3140;3257;0,81;0,8;0,82;0,89;0,88;0,89
07.04.2020;3056;3001;3121;3028;2974;3090;0,8;0,79;0,81;0,87;0,87;0,88
08.04.2020;2872;2811;2939;2994;2938;3057;0,83;0,81;0,84;0,85;0,84;0,86
09.04.2020;2692;2642;2747;2992;2936;3053;0,91;0,9;0,92;0,83;0,82;0,84
10.04.2020;2316;2263;2371;2734;2679;2794;0,86;0,84;0,87;0,8;0,8;0,81
11.04.2020;2015;1967;2078;2474;2421;2534;0,82;0,8;0,83;0,81;0,81;0,82
12.04.2020;1951;1902;2001;2243;2193;2299;0,75;0,74;0,76;0,78;0,78;0,79
13.04.2020;1891;1841;1945;2043;1993;2099;0,68;0,67;0,69;0,78;0,78;0,79
14.04.2020;1941;1889;2000;1949;1900;2006;0,71;0,7;0,73;0,78;0,77;0,78
15.04.2020;1931;1881;1984;1928;1878;1982;0,78;0,77;0,79;0,76;0,75;0,76
16.04.2020;1748;1711;1795;1878;1830;1931;0,84;0,82;0,85;0,78;0,77;0,79
17.04.2020;1646;1605;1691;1816;1771;1867;0,89;0,87;0,91;0,8;0,79;0,81
18.04.2020;1436;1392;1481;1690;1647;1737;0,87;0,85;0,88;0,81;0,8;0,82
19.04.2020;1307;1266;1348;1534;1493;1578;0,8;0,78;0,81;0,84;0,83;0,85
20.04.2020;1575;1531;1618;1491;1448;1534;0,79;0,78;0,81;0,84;0,83;0,85
21.04.2020;1350;1307;1397;1417;1374;1461;0,78;0,76;0,79;0,83;0,82;0,83
22.04.2020;1299;1259;1342;1383;1340;1426;0,82;0,8;0,83;0,83;0,82;0,84
23.04.2020;1267;1226;1307;1373;1330;1416;0,89;0,88;0,91;0,81;0,8;0,82
24.04.2020;1145;1109;1184;1265;1225;1307;0,85;0,83;0,87;0,81;0,81;0,82
25.04.2020;1006;968;1046;1179;1140;1220;0,83;0,81;0,85;0,82;0,82;0,83
26.04.2020;903;872;945;1080;1043;1120;0,78;0,76;0,8;0,82;0,81;0,83
27.04.2020;1101;1061;1136;1039;1002;1078;0,76;0,74;0,77;0,82;0,81;0,83
28.04.2020;945;910;983;989;952;1027;0,78;0,76;0,8;0,81;0,8;0,82
29.04.2020;863;832;893;953;919;989;0,81;0,79;0,83;0,81;0,8;0,82
30.04.2020;936;897;969;961;925;995;0,89;0,87;0,91;0,81;0,8;0,82
01.05.2020;816;783;850;890;855;924;0,86;0,84;0,88;0,82;0,81;0,83
02.05.2020;740;709;773;839;805;871;0,85;0,82;0,87;0,85;0,84;0,86
03.05.2020;754;720;786;812;777;844;0,85;0,83;0,88;0,86;0,85;0,87
04.05.2020;890;854;924;800;766;833;0,83;0,81;0,86;0,89;0,87;0,9
05.05.2020;817;789;850;800;768;833;0,9;0,88;0,93;0,9;0,89;0,92
06.05.2020;741;705;772;801;767;833;0,95;0,92;0,98;0,89;0,87;0,9
07.05.2020;704;675;736;788;755;820;0,97;0,94;1;0,9;0,88;0,91
08.05.2020;679;652;708;735;705;766;0,92;0,89;0,94;0,89;0,87;0,9
09.05.2020;583;551;614;677;645;707;0,85;0,82;0,87;0,87;0,86;0,89
10.05.2020;555;524;585;630;600;661;0,79;0,77;0,81;0,87;0,85;0,88
11.05.2020;667;640;698;621;591;651;0,79;0,76;0,81;0,85;0,84;0,87
12.05.2020;620;589;656;606;576;638;0,82;0,8;0,85;0,85;0,83;0,87
13.05.2020;587;552;617;607;576;639;0,9;0,87;0,93;0,85;0,83;0,86
14.05.2020;526;495;559;600;569;632;0,95;0,92;0,98;0,89;0,87;0,9
15.05.2020;677;646;711;602;570;636;0,97;0,93;1;0,92;0,9;0,94
16.05.2020;557;530;586;587;556;618;0,97;0,93;1;0,93;0,91;0,94
17.05.2020;443;415;473;551;521;582;0,91;0,87;0,94;0,95;0,93;0,97
18.05.2020;615;584;645;573;543;604;0,96;0,92;0,99;0,92;0,9;0,94
19.05.2020;468;438;496;521;491;550;0,86;0,83;0,9;0,92;0,9;0,94
20.05.2020;566;534;598;523;492;553;0,89;0,85;0,93;0,91;0,89;0,93
21.05.2020;389;361;417;509;479;539;0,92;0,89;0,96;0,85;0,83;0,87
22.05.2020;385;358;409;452;422;480;0,79;0,76;0,82;0,83;0,82;0,86
23.05.2020;365;346;388;426;399;453;0,82;0,78;0,86;0,82;0,8;0,84
24.05.2020;371;345;398;377;352;403;0,72;0,69;0,76;0,81;0,79;0,83
25.05.2020;467;442;492;397;372;422;0,78;0,75;0,81;0,87;0,85;0,89
26.05.2020;433;409;459;409;385;434;0,91;0,87;0,94;0,89;0,86;0,91
27.05.2020;454;431;484;431;406;458;1,01;0,97;1,06;0,9;0,88;0,92
28.05.2020;379;356;402;433;409;459;1,15;1,09;1,2;0,94;0,92;0,96
29.05.2020;346;324;370;403;380;428;1,02;0,97;1,06;0,92;0,9;0,94
30.05.2020;291;272;311;367;346;392;0,9;0,86;0,94;0,92;0,9;0,95
31.05.2020;270;247;291;321;300;343;0,75;0,71;0,78;0,88;0,85;0,9
01.06.2020;328;302;353;309;286;331;0,71;0,68;0,75;0,89;0,87;0,91
02.06.2020;439;412;468;332;308;356;0,82;0,79;0,86;0,9;0,87;0,92
03.06.2020;401;375;430;359;334;385;0,98;0,93;1,03;0,92;0,89;0,94
04.06.2020;342;320;363;378;352;403;1,17;1,12;1,24;0,96;0,93;0,98
05.06.2020;320;295;343;376;350;401;1,22;1,16;1,29;0,96;0,93;0,98
06.06.2020;300;280;325;341;317;365;1,03;0,98;1,08;0,96;0,94;0,99
07.06.2020;235;210;255;300;276;321;0,83;0,79;0,88;1,01;0,99;1,04
08.06.2020;411;381;439;317;291;340;0,84;0,8;0,88;1,03;1;1,05
09.06.2020;447;420;479;348;323;374;0,93;0,89;0,97;1,04;1,01;1,06
10.06.2020;434;409;456;382;355;407;1,12;1,07;1,18;1,06;1,04;1,09
11.06.2020;369;345;399;415;389;443;1,39;1,32;1,44;1,05;1,02;1,08
12.06.2020;372;352;396;405;381;432;1,28;1,22;1,34;1,07;1,04;1,1
13.06.2020;367;343;392;386;362;410;1,11;1,06;1,16;1,11;1,08;1,13
14.06.2020;357;332;381;366;343;392;0,96;0,92;1;1,19;1,16;1,22
15.06.2020;644;610;673;435;409;460;1,05;1,01;1,09;1,42;1,4;1,46
16.06.2020;1117;1079;1152;621;591;649;1,53;1,48;1,59;1,48;1,44;1,51
17.06.2020;663;634;696;695;664;725;1,8;1,73;1,87;1,47;1,44;1,5
18.06.2020;535;505;563;740;707;771;2,02;1,93;2,09;1,42;1,39;1,45
19.06.2020;569;542;598;721;690;752;1,66;1,61;1,72;1,19;1,17;1,21
20.06.2020;469;439;496;559;530;588;0,9;0,87;0,93;1,12;1,1;1,14
21.06.2020;368;340;390;485;456;512;0,7;0,68;0,72;1,03;1,02;1,05
22.06.2020;473;445;506;470;441;497;0,64;0,61;0,66;0,83;0,81;0,84
23.06.2020;431;403;458;435;407;462;0,6;0,58;0,63;0,76;0,74;0,78
24.06.2020;467;440;492;435;407;461;0,78;0,75;0,81;0,73;0,71;0,75
25.06.2020;407;382;432;445;417;472;0,92;0,88;0,96;0,73;0,71;0,74
26.06.2020;432;409;463;434;408;461;0,93;0,89;0,96;0,84;0,82;0,86
27.06.2020;352;328;377;415;389;441;0,95;0,91;0,99;0,87;0,84;0,89
28.06.2020;314;292;335;377;352;401;0,87;0,82;0,9;0,89;0,87;0,91
29.06.2020;420;396;443;380;356;404;0,85;0,81;0,89;0,93;0,91;0,95
30.06.2020;436;405;463;381;355;404;0,88;0,84;0,91;0,94;0,92;0,97
01.07.2020;407;382;431;394;369;418;0,95;0,91;0,99;0,94;0,91;0,96
02.07.2020;337;313;359;400;374;424;1,06;1,02;1,11;0,92;0,91;0,95
03.07.2020;346;324;368;381;356;405;1;0,96;1,06;0,9;0,88;0,92
04.07.2020;298;274;320;347;323;369;0,91;0,87;0,96;0,92;0,89;0,94
05.07.2020;293;270;315;318;295;340;0,81;0,77;0,85;0,92;0,9;0,95
06.07.2020;376;353;399;328;305;350;0,82;0,79;0,86;0,93;0,91;0,96
07.07.2020;373;349;400;335;311;358;0,88;0,83;0,92;0,93;0,91;0,95
08.07.2020;356;332;377;350;326;372;1,01;0,96;1,06;0,95;0,93;0,98
09.07.2020;378;353;406;371;346;395;1,17;1,11;1,22;1;0,98;1,03
10.07.2020;428;403;452;384;359;409;1,17;1,11;1,23;1,07;1,04;1,09
11.07.2020;387;366;414;387;363;412;1,16;1,1;1,21;1,12;1,09;1,14
12.07.2020;361;336;391;389;364;416;1,11;1,06;1,16;1,17;1,14;1,2
13.07.2020;545;517;571;430;406;457;1,16;1,1;1,22;1,19;1,16;1,22
14.07.2020;514;485;542;452;426;479;1,18;1,13;1,23;1,22;1,2;1,25
15.07.2020;556;530;585;494;467;522;1,28;1,23;1,32;1,23;1,2;1,26
16.07.2020;471;441;493;521;493;548;1,34;1,29;1,4;1,19;1,16;1,22
17.07.2020;534;507;561;518;490;545;1,21;1,16;1,25;1,17;1,15;1,19
18.07.2020;490;464;522;513;485;540;1,13;1,09;1,18;1,14;1,12;1,17
19.07.2020;516;492;545;502;476;530;1,02;0,98;1,06;1,16;1,13;1,18
20.07.2020;687;655;723;557;529;587;1,07;1,03;1,11;1,18;1,15;1,2
21.07.2020;705;666;740;599;569;632;1,16;1,11;1,2;1,19;1,17;1,22
22.07.2020;733;700;766;660;628;693;1,29;1,25;1,34;1,2;1,18;1,23
23.07.2020;685;655;721;703;669;737;1,4;1,35;1,45;1,2;1,17;1,22
24.07.2020;695;663;727;705;671;738;1,27;1,22;1,32;1,17;1,15;1,19
25.07.2020;616;590;650;682;652;716;1,14;1,09;1,18;1,14;1,12;1,17
26.07.2020;606;572;638;651;620;684;0,99;0,95;1,03;1,12;1,09;1,14
27.07.2020;819;787;852;684;653;717;0,97;0,94;1,01;1,09;1,07;1,11
28.07.2020;769;735;806;702;671;736;1;0,96;1,03;1,06;1,04;1,08
29.07.2020;740;699;773;733;698;767;1,07;1,04;1,11;1,06;1,04;1,08
30.07.2020;759;720;795;772;735;806;1,19;1,15;1,23;1,05;1,03;1,07
31.07.2020;776;740;812;761;723;796;1,11;1,07;1,15;1,07;1,05;1,1
01.08.2020;823;787;860;775;736;810;1,1;1,07;1,14;1,13;1,11;1,15
02.08.2020;900;858;941;815;776;852;1,11;1,07;1,14;1,17;1,15;1,19
03.08.2020;1081;1037;1119;895;855;933;1,16;1,12;1,2;1,19;1,17;1,21
04.08.2020;982;945;1031;947;906;988;1,24;1,21;1,28;1,19;1,17;1,21
05.08.2020;985;944;1025;987;946;1029;1,27;1,23;1,32;1,17;1,15;1,19
06.08.2020;1005;963;1044;1013;972;1055;1,24;1,2;1,29;1,17;1,15;1,19
07.08.2020;1051;1011;1097;1006;965;1049;1,12;1,09;1,16;1,16;1,14;1,18
08.08.2020;1007;963;1057;1012;970;1056;1,07;1,03;1,1;1,13;1,12;1,15
09.08.2020;1040;993;1091;1026;982;1072;1,04;1,01;1,07;1,14;1,12;1,16
10.08.2020;1404;1356;1453;1126;1080;1174;1,11;1,08;1,14;1,15;1,13;1,16
11.08.2020;1327;1276;1376;1195;1147;1244;1,19;1,15;1,22;1,16;1,15;1,18
12.08.2020;1318;1263;1372;1272;1222;1323;1,26;1,22;1,3;1,19;1,17;1,21
13.08.2020;1344;1289;1396;1348;1296;1399;1,31;1,28;1,36;1,17;1,15;1,19
14.08.2020;1311;1263;1360;1325;1273;1376;1,18;1,14;1,21;1,15;1,13;1,16
15.08.2020;1212;1168;1263;1296;1245;1348;1,09;1,06;1,12;1,12;1,1;1,13
16.08.2020;1181;1132;1231;1262;1213;1312;0,99;0,96;1,02;1,07;1,06;1,09
17.08.2020;1413;1361;1471;1279;1231;1331;0,95;0,92;0,97;1,06;1,04;1,07
18.08.2020;1464;1410;1517;1318;1267;1370;0,99;0,97;1,02;1,03;1,01;1,04
19.08.2020;1299;1239;1349;1339;1285;1392;1,03;1,01;1,06;0,99;0,98;1,01
20.08.2020;1142;1093;1190;1329;1276;1382;1,05;1,02;1,08;0,97;0,96;0,99
21.08.2020;1161;1116;1206;1266;1214;1315;0,99;0,96;1,02;0,95;0,94;0,96
22.08.2020;1115;1076;1166;1179;1131;1228;0,9;0,87;0,92;0,95;0,94;0,96
23.08.2020;1165;1113;1216;1146;1099;1194;0,86;0,83;0,89;0,97;0,96;0,99
24.08.2020;1442;1387;1504;1221;1173;1273;0,92;0,89;0,95;0,97;0,96;0,99
25.08.2020;1321;1271;1369;1261;1211;1314;1;0,97;1,03;0,98;0,96;0,99
